id,home,away,homeEmoji,awayEmoji,score,status,refId,group,kickoff,yellowCards,redCards,penaltiesGiven,varDecisions,perfectGame,incorrectVarPen,incorrectVarRed
1,Mexico,South Africa,🇲🇽,🇿🇦,–,upcoming,1,A,2026-06-11T19:00:00Z,0,0,0,0,no,0,0
2,South Korea,TBD (UEFA D),🇰🇷,🏳,–,upcoming,2,A,2026-06-12T02:00:00Z,0,0,0,0,no,0,0
3,Canada,TBD (UEFA A),🇨🇦,🏳,–,upcoming,3,B,2026-06-12T19:00:00Z,0,0,0,0,no,0,0
4,Qatar,Switzerland,🇶🇦,🇨🇭,–,upcoming,4,B,2026-06-13T19:00:00Z,0,0,0,0,no,0,0
5,Brazil,Haiti,🇧🇷,🇭🇹,–,upcoming,5,C,2026-06-14T01:00:00Z,0,0,0,0,no,0,0
6,Scotland,Morocco,🏴󠁧󠁢󠁳󠁣󠁴󠁿,🇲🇦,–,upcoming,6,C,2026-06-13T22:00:00Z,0,0,0,0,no,0,0
7,United States,Paraguay,🇺🇸,🇵🇾,–,upcoming,7,D,2026-06-13T01:00:00Z,0,0,0,0,no,0,0
8,Australia,TBD (UEFA C),🇦🇺,🏳,–,upcoming,8,D,2026-06-14T04:00:00Z,0,0,0,0,no,0,0
9,Germany,Côte d'Ivoire,🇩🇪,🇨🇮,–,upcoming,9,E,2026-06-12T20:00:00Z,0,0,0,0,no,0,0
10,Ecuador,Curaçao,🇪🇨,🇨🇼,–,upcoming,10,E,2026-06-13T00:00:00Z,0,0,0,0,no,0,0
11,Netherlands,TBD (UEFA B),🇳🇱,🏳,–,upcoming,11,F,2026-06-12T17:00:00Z,0,0,0,0,no,0,0
12,Japan,Tunisia,🇯🇵,🇹🇳,–,upcoming,12,F,,0,0,0,0,no,0,0
13,Belgium,Egypt,🇧🇪,🇪🇬,–,upcoming,1,G,,0,0,0,0,no,0,0
14,Iran,New Zealand,🇮🇷,🇳🇿,–,upcoming,2,G,,0,0,0,0,no,0,0
15,Spain,Cabo Verde,🇪🇸,🇨🇻,–,upcoming,3,H,,0,0,0,0,no,0,0
16,Saudi Arabia,Uruguay,🇸🇦,🇺🇾,–,upcoming,4,H,,0,0,0,0,no,0,0
17,France,TBD (IC 2),🇫🇷,🏳,–,upcoming,5,I,2026-06-13T21:00:00Z,0,0,0,0,no,0,0
18,Norway,Senegal,🇳🇴,🇸🇳,–,upcoming,6,I,2026-06-14T00:00:00Z,0,0,0,0,no,0,0
19,Argentina,Austria,🇦🇷,🇦🇹,–,upcoming,7,J,2026-06-12T17:00:00Z,0,0,0,0,no,0,0
20,Algeria,Jordan,🇩🇿,🇯🇴,–,upcoming,8,J,,0,0,0,0,no,0,0
21,Portugal,Uzbekistan,🇵🇹,🇺🇿,–,upcoming,9,K,,0,0,0,0,no,0,0
22,Colombia,TBD (IC 1),🇨🇴,🏳,–,upcoming,10,K,,0,0,0,0,no,0,0
23,England,Croatia,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🇭🇷,–,upcoming,11,L,2026-06-13T20:00:00Z,0,0,0,0,no,0,0
24,Ghana,Panama,🇬🇭,🇵🇦,–,upcoming,12,L,2026-06-13T23:00:00Z,0,0,0,0,no,0,0
